interaction_id,session_id,user_id,timestamp_utc,split,use_case,model_provider,model_name,account_tier,channel,region,segment,latency_ms,prompt_tokens,completion_tokens,total_tokens,tokens_per_second,cost_usd,tool_calls_count,temperature,top_p,max_tokens,retry_index,response_quality_score,user_feedback_score,failure_type,is_failure,is_failure_was_missing,safety_block_flag,hallucination_flag,toxicity_flag,formatting_error_flag,tool_error_flag,latency_timeout_flag
i0000011,s000053,u00110,2025-02-10 14:43:31+00:00,train,search,google,gemini,free,api,apac,enterprise,1869.78,125,630,755,403.79,0.00151,0,0.81,0.65,1082,2,0.967,0.282,none,False,False,False,False,False,False,False,False
i0000012,s000137,u00181,2025-02-22 00:33:29+00:00,val,summarization,local,llama,pro,mobile,eu,smb,1855.01,330,503,833,449.05,0.003332,0,1.12,0.78,1688,2,0.847,1.0,none,False,False,False,False,False,False,False,False
i0000013,s000423,u00230,2025-02-02 13:14:29+00:00,test,support,openai,gpt,pro,api,mena,smb,1560.9,79,259,338,216.54,0.000676,0,1.09,0.94,156,2,0.792,-0.379,none,False,False,False,False,False,False,False,False
i0000014,s000264,u00278,2025-01-04 06:41:20+00:00,train,analytics,google,gemini,enterprise,web,eu,enterprise,1182.8,359,54,413,349.17,0.000826,0,0.25,0.63,1651,1,0.563,0.664,none,False,False,False,False,False,False,False,False
i0000015,s000489,u00230,2025-01-14 19:23:02+00:00,train,coding,openai,gpt,pro,api,eu,enterprise,2052.78,306,533,839,408.71,0.003356,0,0.89,1.0,492,0,0.407,-0.509,none,False,False,False,False,False,False,False,False
i0000016,s000437,u00171,2025-01-13 12:07:46+00:00,train,coding,google,gemini,free,web,eu,smb,2382.39,268,621,889,373.16,0.005334,0,0.95,0.83,1540,1,0.459,-0.277,none,False,False,False,False,False,False,False,False
i0000017,s000278,u00235,2025-02-24 02:58:13+00:00,test,analytics,local,llama,pro,mobile,us,consumer,2076.61,356,352,708,340.94,0.001416,0,1.04,0.76,796,1,0.363,0.918,none,False,False,False,False,False,False,False,False
i0000018,s000340,u00286,2025-02-24 21:16:09+00:00,train,coding,openai,gpt,pro,web,us,consumer,1752.7,185,582,767,437.61,0.001534,0,0.31,0.61,1570,2,0.642,-0.526,none,False,False,False,False,False,False,False,False
i0000019,s000166,u00245,2025-01-29 06:49:22+00:00,train,search,openai,gpt,free,api,us,enterprise,2683.82,141,652,793,295.47,0.001586,0,0.54,0.83,1286,1,0.849,0.055,none,False,False,False,False,False,False,False,False
i0000020,s000046,u00292,2025-02-23 06:30:52+00:00,test,support,openai,gpt,enterprise,api,us,enterprise,2025.55,95,391,486,239.94,0.002916,0,0.27,0.8,1912,2,0.35,1.0,none,False,False,False,False,False,False,False,False
i0000021,s000200,u00289,2025-01-15 22:28:14+00:00,train,support,local,llama,enterprise,api,mena,enterprise,1704.09,372,162,534,313.36,0.003204,0,0.03,0.69,1639,0,0.204,0.815,none,False,False,False,False,False,False,False,False
i0000022,s000297,u00255,2025-02-10 18:36:16+00:00,train,summarization,openai,gpt,pro,mobile,us,consumer,1301.15,184,35,219,168.31,0.000438,0,0.79,0.8,1883,2,0.3,-0.242,none,False,False,False,False,False,False,False,False
i0000023,s000092,u00242,2025-01-24 20:37:42+00:00,test,summarization,google,gemini,enterprise,web,eu,smb,2400.5,338,534,872,363.26,0.001744,0,0.52,0.61,418,1,0.569,-0.139,formatting_error,True,False,False,False,False,True,False,False
i0000024,s000111,u00084,2025-01-15 15:53:35+00:00,test,summarization,anthropic,claude,pro,web,mena,consumer,2078.63,159,402,561,269.89,0.002244,0,0.3,1.0,856,1,0.215,0.098,none,False,False,False,False,False,False,False,False
i0000025,s000008,u00210,2025-01-16 21:51:05+00:00,train,summarization,anthropic,claude,enterprise,web,mena,smb,1886.74,383,124,507,268.72,0.002028,0,1.02,0.73,967,2,0.523,0.987,hallucination,True,False,False,True,False,False,False,False
i0000026,s000368,u00095,2025-01-26 02:45:59+00:00,train,analytics,openai,gpt,pro,mobile,mena,consumer,1172.09,353,57,410,349.8,0.00082,0,0.59,0.79,187,1,0.289,-0.401,none,False,False,False,False,False,False,False,False
i0000027,s000450,u00086,2025-01-21 14:23:57+00:00,train,coding,openai,gpt,free,mobile,eu,smb,2061.24,150,679,829,402.19,0.001658,1,1.19,0.91,171,0,0.286,-0.437,none,False,False,False,False,False,False,False,False
i0000028,s000414,u00040,2025-01-13 07:02:27+00:00,train,search,google,gemini,pro,web,us,smb,1639.7,215,237,452,275.66,0.000904,0,0.95,0.89,202,1,0.77,0.628,none,False,False,False,False,False,False,False,False
i0000029,s000190,u00091,2025-01-21 09:33:43+00:00,train,coding,google,gemini,pro,api,us,consumer,2168.03,325,242,567,261.53,0.002268,1,1.04,0.96,1601,2,1.0,-0.809,none,False,False,False,False,False,False,False,False
i0000030,s000297,u00255,2025-01-08 05:42:31+00:00,train,summarization,openai,gpt,free,api,eu,smb,1873.5,121,447,568,303.18,0.003408,1,0.93,0.98,985,2,0.356,-0.347,none,False,False,False,False,False,False,False,False
i0000031,s000481,u00087,2025-02-28 04:55:15+00:00,train,analytics,google,gemini,enterprise,mobile,apac,smb,1437.69,48,267,315,219.1,0.00063,0,0.13,0.68,1571,1,0.384,0.149,none,False,False,False,False,False,False,False,False
i0000032,s000296,u00157,2025-01-23 10:37:14+00:00,train,search,anthropic,claude,pro,web,apac,smb,2732.03,143,640,783,286.6,0.004698,1,0.08,0.76,1731,1,0.437,0.18,none,False,False,False,False,False,False,False,False
i0000033,s000148,u00071,2025-01-07 22:02:20+00:00,train,analytics,anthropic,claude,pro,mobile,us,consumer,2003.18,252,483,735,366.92,0.00147,1,1.1,0.87,197,0,0.828,-0.619,none,False,False,False,False,False,False,False,False
i0000034,s000170,u00007,2025-02-04 15:14:52+00:00,test,support,anthropic,claude,pro,web,us,consumer,1528.54,89,263,352,230.28,0.001408,0,0.17,0.62,1755,2,0.605,0.412,none,False,False,False,False,False,False,False,False
i0000035,s000364,u00269,2025-02-22 08:23:04+00:00,test,coding,local,llama,enterprise,web,eu,consumer,1544.59,160,201,361,233.72,0.002166,0,0.47,0.89,561,1,0.657,0.532,none,False,False,False,False,False,False,False,False
i0000036,s000224,u00061,2025-01-22 10:24:07+00:00,train,support,google,gemini,free,mobile,us,consumer,2895.33,370,604,974,336.4,0.003896,0,0.73,0.6,904,0,0.637,-0.197,none,False,False,False,False,False,False,False,False
i0000037,s000419,u00089,2025-02-20 12:42:57+00:00,train,summarization,local,llama,free,web,us,enterprise,1196.43,67,422,489,408.72,0.000978,0,0.25,0.97,1976,2,0.95,1.0,none,False,False,False,False,False,False,False,False
i0000038,s000433,u00248,2025-02-06 05:52:07+00:00,train,analytics,openai,gpt,pro,web,eu,consumer,2045.92,58,644,702,343.12,0.001404,1,0.27,0.89,707,2,0.228,0.404,none,False,False,False,False,False,False,False,False
i0000039,s000018,u00039,2025-02-14 12:30:32+00:00,train,summarization,google,gemini,enterprise,api,apac,consumer,1267.9,192,254,446,351.76,0.002676,1,0.56,0.83,1932,0,0.326,-0.403,none,False,False,False,False,False,False,False,False
i0000040,s000362,u00268,2025-01-18 16:42:03+00:00,train,coding,google,gemini,pro,web,us,consumer,1099.71,44,34,78,70.93,0.000312,0,0.43,0.77,1100,1,0.506,1.0,none,False,False,False,False,False,False,False,False
i0000041,s000185,u00149,2025-01-03 05:50:09+00:00,train,summarization,google,gemini,pro,api,us,smb,2291.83,50,631,681,297.14,0.001362,0,0.81,1.0,153,2,0.59,-0.114,none,False,False,False,False,False,False,False,False
i0000042,s000260,u00177,2025-01-21 14:01:38+00:00,train,support,anthropic,claude,pro,api,us,consumer,1602.06,105,182,287,179.14,0.001148,0,0.09,0.89,1726,2,0.291,0.307,none,False,False,False,False,False,False,False,False
i0000043,s000133,u00028,2025-02-25 17:00:03+00:00,val,support,anthropic,claude,pro,mobile,mena,smb,2080.88,76,594,670,321.98,0.00134,0,0.59,0.92,213,0,0.915,-0.092,none,False,False,False,False,False,False,False,False
i0000044,s000185,u00149,2025-02-17 12:27:48+00:00,train,summarization,local,llama,pro,api,apac,consumer,2774.08,331,502,833,300.28,0.001666,2,0.21,0.93,1350,0,0.742,0.574,none,False,False,False,False,False,False,False,False
i0000045,s000166,u00245,2025-02-17 07:00:25+00:00,train,coding,openai,gpt,enterprise,mobile,apac,smb,1436.04,84,177,261,181.75,0.001566,0,0.73,0.61,1008,2,0.946,-0.089,none,False,False,False,False,False,False,False,False
i0000046,s000026,u00194,2025-02-22 13:18:21+00:00,train,coding,openai,gpt,pro,api,apac,enterprise,2247.31,228,534,762,339.07,0.001524,0,0.14,0.62,396,2,0.953,-0.053,none,False,False,False,False,False,False,False,False
i0000047,s000392,u00054,2025-01-23 19:02:15+00:00,val,summarization,local,llama,pro,api,mena,smb,1552.4,293,75,368,237.05,0.000736,0,0.24,0.68,1116,2,0.61,0.104,none,False,False,False,False,False,False,False,False
i0000048,s000072,u00057,2025-01-20 05:19:32+00:00,train,coding,google,gemini,enterprise,api,mena,enterprise,1753.95,265,286,551,314.15,0.001102,0,0.96,0.86,823,1,0.882,-0.101,none,False,False,False,False,False,False,False,False
i0000049,s000188,u00115,2025-02-25 13:47:32+00:00,train,coding,google,gemini,enterprise,mobile,us,consumer,1817.61,275,262,537,295.44,0.003222,0,0.28,0.85,317,2,0.789,0.843,none,False,False,False,False,False,False,False,False
i0000050,s000097,u00072,2025-02-04 16:19:49+00:00,test,summarization,anthropic,claude,pro,web,apac,smb,2293.06,168,466,634,276.49,0.001268,0,0.88,0.73,1194,1,0.488,-0.555,latency_timeout,True,False,False,False,False,False,False,True
i0000051,s000081,u00283,2025-01-18 07:42:57+00:00,val,coding,local,llama,pro,web,apac,enterprise,2120.46,359,383,742,349.92,0.001484,0,0.33,0.99,212,2,0.726,0.178,none,False,False,False,False,False,False,False,False
i0000052,s000187,u00050,2025-01-17 09:18:00+00:00,train,analytics,google,gemini,pro,api,us,smb,1388.45,64,436,500,360.11,0.001,1,0.28,0.64,1161,0,0.962,0.254,none,False,False,False,False,False,False,False,False
i0000053,s000460,u00032,2025-02-22 21:19:57+00:00,train,support,local,llama,pro,api,eu,enterprise,1515.46,78,343,421,277.8,0.000842,1,0.36,0.91,561,0,0.811,0.125,none,False,False,False,False,False,False,False,False
i0000054,s000473,u00130,2025-01-04 08:43:23+00:00,train,summarization,local,llama,pro,api,apac,enterprise,2702.98,348,523,871,322.24,0.001742,0,1.06,0.79,1722,0,0.768,0.781,none,False,False,False,False,False,False,False,False
i0000055,s000191,u00206,2025-01-04 14:21:27+00:00,test,support,google,gemini,free,mobile,mena,enterprise,1014.54,64,128,192,189.25,0.000384,0,0.48,0.77,1952,0,0.377,-0.702,none,False,False,False,False,False,False,False,False
i0000056,s000253,u00057,2025-02-14 03:35:37+00:00,test,analytics,anthropic,claude,pro,mobile,apac,smb,1858.49,109,508,617,331.99,0.001234,1,0.29,0.61,1917,0,0.865,0.541,none,False,False,False,False,False,False,False,False
i0000057,s000493,u00227,2025-01-01 22:13:24+00:00,test,analytics,google,gemini,free,mobile,eu,smb,733.61,102,54,156,212.65,0.000624,0,0.64,0.89,1928,1,0.512,-0.547,none,False,False,False,False,False,False,False,False
i0000058,s000118,u00042,2025-01-11 14:19:26+00:00,train,analytics,anthropic,claude,enterprise,api,mena,enterprise,1197.2,51,78,129,107.75,0.000258,0,0.46,0.91,320,0,0.699,-0.105,none,False,False,False,False,False,False,False,False
i0000059,s000473,u00130,2025-03-01 18:14:55+00:00,train,coding,openai,gpt,pro,web,us,enterprise,1879.13,82,512,594,316.1,0.001188,0,0.95,0.73,1106,1,0.742,-0.609,none,False,False,False,False,False,False,False,False
i0000060,s000053,u00110,2025-01-26 14:27:50+00:00,train,search,local,llama,enterprise,mobile,apac,enterprise,1488.52,246,127,373,250.58,0.001492,0,1.19,0.81,558,1,0.612,0.001,none,False,False,False,False,False,False,False,False
i0000061,s000113,u00167,2025-02-13 08:31:54+00:00,train,search,anthropic,claude,free,mobile,apac,smb,2013.97,278,543,821,407.65,0.001642,0,0.63,0.84,313,0,0.332,-0.147,none,False,False,False,False,False,False,False,False
i0000062,s000170,u00007,2025-01-30 08:10:01+00:00,test,summarization,google,gemini,free,api,apac,consumer,1173.41,69,110,179,152.55,0.000358,2,0.54,0.75,880,1,0.758,1.0,none,False,False,False,False,False,False,False,False
i0000063,s000019,u00252,2025-01-06 16:49:44+00:00,train,analytics,anthropic,claude,pro,web,apac,enterprise,2084.2,379,119,498,238.94,0.002988,0,0.41,0.85,952,2,0.398,0.345,safety_block,True,False,True,False,False,False,False,False
i0000064,s000408,u00044,2025-01-12 20:38:11+00:00,train,coding,anthropic,claude,pro,api,eu,consumer,2003.34,74,654,728,363.39,0.002912,1,1.17,0.77,697,1,0.412,0.464,none,False,False,False,False,False,False,False,False
i0000065,s000428,u00242,2025-02-15 03:03:48+00:00,train,support,local,llama,pro,mobile,us,enterprise,1561.93,287,140,427,273.38,0.001708,1,0.58,0.95,347,0,0.301,-0.465,none,False,False,False,False,False,False,False,False
i0000066,s000192,u00190,2025-01-06 20:17:27+00:00,train,search,anthropic,claude,free,api,eu,consumer,2602.98,328,641,969,372.27,0.003876,0,0.21,0.89,911,2,0.696,0.644,none,False,False,False,False,False,False,False,False
i0000067,s000419,u00089,2025-02-05 19:55:12+00:00,train,coding,openai,gpt,free,mobile,mena,enterprise,1870.03,227,256,483,258.28,0.002898,0,1.16,0.64,426,1,0.294,1.0,none,False,False,False,False,False,False,False,False
i0000068,s000387,u00021,2025-01-21 02:37:02+00:00,train,search,openai,gpt,enterprise,api,mena,smb,1800.67,216,562,778,432.06,0.001556,0,1.15,0.92,206,1,0.476,0.722,none,False,False,False,False,False,False,False,False
i0000069,s000401,u00300,2025-01-23 02:35:45+00:00,train,analytics,anthropic,claude,enterprise,web,apac,consumer,2208.68,79,658,737,333.68,0.001474,0,0.52,0.74,994,0,0.912,-0.587,none,False,False,False,False,False,False,False,False
i0000070,s000402,u00234,2025-02-27 16:40:51+00:00,test,summarization,openai,gpt,enterprise,api,mena,enterprise,1399.29,126,99,225,160.8,0.00135,1,0.42,0.97,254,0,0.562,-0.078,none,False,False,False,False,False,False,False,False
i0000071,s000287,u00049,2025-02-06 20:13:38+00:00,train,support,google,gemini,pro,web,eu,enterprise,2170.18,346,244,590,271.87,0.00118,0,0.82,0.84,1982,0,0.916,0.265,none,False,False,False,False,False,False,False,False
i0000072,s000056,u00014,2025-02-06 09:27:07+00:00,train,search,openai,gpt,pro,mobile,eu,consumer,2056.97,165,410,575,279.54,0.0023,0,0.99,0.61,1737,2,0.594,-0.146,none,False,False,False,False,False,False,False,False
i0000073,s000462,u00043,2025-01-22 15:22:30+00:00,train,analytics,local,llama,pro,api,apac,consumer,1694.78,52,608,660,389.43,0.00132,1,0.6,0.89,1905,0,0.343,1.0,none,False,False,False,False,False,False,False,False
i0000074,s000305,u00163,2025-01-23 23:59:35+00:00,train,analytics,local,llama,pro,mobile,us,enterprise,1579.99,302,147,449,284.18,0.000898,0,0.4,0.65,324,1,0.807,-0.089,none,False,False,False,False,False,False,False,False
i0000075,s000451,u00289,2025-02-11 07:44:49+00:00,train,analytics,openai,gpt,free,api,mena,smb,1337.97,286,146,432,322.88,0.001728,0,0.36,0.95,1020,2,0.483,0.174,none,False,False,False,False,False,False,False,False
i0000076,s000480,u00033,2025-01-03 05:24:02+00:00,train,analytics,google,gemini,free,api,us,smb,1483.62,63,270,333,224.45,0.001332,0,0.39,0.98,1710,1,0.973,-0.16,none,False,False,False,False,False,False,False,False
i0000077,s000094,u00117,2025-01-15 23:47:55+00:00,train,analytics,local,llama,free,api,eu,enterprise,1219.89,58,159,217,177.89,0.000868,0,0.14,0.88,1233,0,0.41,0.339,none,False,False,False,False,False,False,False,False
i0000078,s000202,u00273,2025-02-06 06:43:57+00:00,test,search,anthropic,claude,free,mobile,us,smb,1385.02,81,201,282,203.61,0.000564,0,0.93,0.81,716,2,0.858,1.0,none,False,False,False,False,False,False,False,False
i0000079,s000097,u00072,2025-02-07 11:20:32+00:00,test,coding,local,llama,pro,api,us,smb,935.98,58,108,166,177.35,0.000332,0,0.13,0.84,1724,0,0.595,0.269,none,False,False,False,False,False,False,False,False
i0000080,s000026,u00194,2025-01-06 10:36:37+00:00,train,analytics,anthropic,claude,pro,web,eu,enterprise,2041.88,261,583,844,413.34,0.003376,4,0.48,0.77,721,2,0.874,0.069,none,False,False,False,False,False,False,False,False
i0000081,s000484,u00240,2025-02-17 12:33:26+00:00,train,search,google,gemini,enterprise,web,eu,consumer,1155.19,87,561,648,500.0,0.001296,0,1.0,0.63,1997,2,0.346,-0.444,none,False,False,False,False,False,False,False,False
i0000082,s000462,u00043,2025-02-02 06:26:56+00:00,train,search,anthropic,claude,enterprise,mobile,us,smb,1481.54,258,118,376,253.79,0.001504,0,0.48,0.97,321,1,0.707,0.925,none,False,False,False,False,False,False,False,False
i0000083,s000466,u00290,2025-01-15 16:17:47+00:00,train,search,anthropic,claude,free,mobile,apac,smb,2101.12,103,384,487,231.78,0.001948,0,0.35,0.73,1483,0,0.291,0.114,none,False,False,False,False,False,False,False,False
i0000084,s000442,u00091,2025-02-15 16:36:28+00:00,test,analytics,anthropic,claude,pro,mobile,us,enterprise,3372.89,390,459,849,251.71,0.001698,1,1.14,0.73,153,1,0.844,0.088,none,False,False,False,False,False,False,False,False
i0000085,s000325,u00293,2025-03-01 04:48:48+00:00,test,support,google,gemini,pro,mobile,mena,consumer,2887.17,301,446,747,258.73,0.001494,0,0.15,0.68,1883,0,0.389,-1.0,none,False,False,False,False,False,False,False,False
i0000086,s000262,u00052,2025-01-26 11:32:30+00:00,val,summarization,anthropic,claude,enterprise,mobile,apac,enterprise,1926.2,174,689,863,448.03,0.003452,0,1.06,1.0,810,2,0.542,0.124,none,False,False,False,False,False,False,False,False
i0000087,s000496,u00124,2025-01-18 01:22:35+00:00,train,support,anthropic,claude,pro,api,us,consumer,2212.28,194,456,650,293.81,0.0013,1,0.07,0.98,167,2,0.725,-0.041,none,False,False,False,False,False,False,False,False
i0000088,s000277,u00141,2025-01-18 05:18:03+00:00,test,analytics,anthropic,claude,pro,api,eu,smb,1438.56,63,487,550,382.33,0.0011,0,0.5,0.74,1731,2,0.583,-0.896,none,False,False,False,False,False,False,False,False
i0000089,s000322,u00033,2025-02-05 23:41:35+00:00,val,search,anthropic,claude,enterprise,mobile,mena,enterprise,697.89,59,42,101,144.72,0.000606,0,0.76,0.7,1985,2,0.823,0.794,none,False,False,False,False,False,False,False,False
i0000090,s000106,u00237,2025-01-03 12:09:10+00:00,train,summarization,openai,gpt,free,api,apac,consumer,1543.67,233,73,306,198.23,0.000612,0,0.44,0.92,1894,0,0.751,-0.121,none,False,False,False,False,False,False,False,False
i0000091,s000374,u00113,2025-01-30 14:56:43+00:00,train,analytics,google,gemini,free,web,eu,enterprise,1862.55,48,440,488,262.01,0.001952,1,0.64,0.77,1060,0,0.304,1.0,none,False,False,False,False,False,False,False,False
i0000092,s000410,u00005,2025-01-02 21:19:51+00:00,train,coding,anthropic,claude,pro,web,us,smb,2277.21,269,637,906,397.86,0.001812,1,0.24,0.99,246,1,0.819,1.0,none,False,False,False,False,False,False,False,False
i0000093,s000340,u00286,2025-01-03 17:07:47+00:00,train,analytics,openai,gpt,free,api,us,consumer,1451.07,177,291,468,322.52,0.000936,0,0.68,0.96,565,1,0.539,-0.232,none,False,False,False,False,False,False,False,False
i0000094,s000250,u00013,2025-01-26 19:01:02+00:00,train,search,openai,gpt,free,api,eu,smb,1803.07,90,457,547,303.37,0.002188,1,0.16,0.9,187,2,0.678,1.0,none,False,False,False,False,False,False,False,False
i0000095,s000099,u00192,2025-02-14 17:05:21+00:00,train,summarization,anthropic,claude,enterprise,mobile,apac,consumer,1113.08,232,162,394,353.97,0.000788,0,0.96,0.64,213,1,0.373,1.0,none,False,False,False,False,False,False,False,False
i0000096,s000017,u00154,2025-02-23 11:58:18+00:00,train,coding,anthropic,claude,free,web,mena,enterprise,2007.66,239,330,569,283.42,0.002276,0,0.7,0.88,432,2,0.538,-0.135,none,False,False,False,False,False,False,False,False
i0000097,s000314,u00085,2025-01-06 15:10:54+00:00,train,coding,openai,gpt,free,web,us,consumer,1553.49,308,530,838,500.0,0.001676,1,0.58,0.99,1209,1,0.854,-0.42,none,False,False,False,False,False,False,False,False
i0000098,s000342,u00088,2025-01-15 06:55:25+00:00,train,analytics,google,gemini,free,mobile,apac,consumer,1572.38,111,468,579,368.23,0.002316,0,0.07,0.75,1599,0,0.941,-1.0,none,False,False,False,False,False,False,False,False
i0000099,s000387,u00021,2025-01-26 21:22:11+00:00,train,coding,anthropic,claude,enterprise,web,mena,enterprise,1065.4,237,97,334,313.5,0.001336,1,0.6,0.95,1250,0,0.951,0.428,none,False,False,False,False,False,False,False,False
i0000100,s000476,u00236,2025-02-04 04:19:02+00:00,train,support,anthropic,claude,pro,api,mena,consumer,2401.83,344,617,961,400.11,0.003844,0,0.68,0.76,521,1,0.76,-0.384,none,False,False,False,False,False,False,False,False
i0000101,s000249,u00237,2025-03-01 21:13:06+00:00,train,summarization,anthropic,claude,free,web,us,consumer,2100.5,137,650,787,374.67,0.001574,0,0.32,0.99,1283,0,0.263,0.446,none,False,False,False,False,False,False,False,False
i0000102,s000415,u00006,2025-02-11 21:04:52+00:00,train,summarization,google,gemini,free,api,apac,smb,1415.7,340,344,684,483.15,0.001368,0,0.81,0.86,571,1,0.554,-0.141,formatting_error,True,False,False,False,False,True,False,False
i0000103,s000359,u00028,2025-02-02 03:24:52+00:00,val,analytics,openai,gpt,free,mobile,us,enterprise,1935.33,300,251,551,284.71,0.001102,1,0.09,0.64,1013,1,0.354,-0.268,none,False,False,False,False,False,False,False,False
i0000104,s000139,u00105,2025-01-04 17:02:38+00:00,train,analytics,openai,gpt,enterprise,web,us,enterprise,1279.25,194,381,575,449.48,0.00345,2,0.25,0.79,1834,0,0.758,-0.137,none,False,False,False,False,False,False,False,False
i0000105,s000423,u00230,2025-01-05 23:45:07+00:00,test,support,google,gemini,pro,web,mena,smb,2833.82,357,564,921,325.0,0.003684,0,0.89,0.62,386,1,0.329,-0.58,none,False,False,False,False,False,False,False,False
i0000106,s000027,u00121,2025-01-10 13:43:54+00:00,train,search,google,gemini,enterprise,api,eu,smb,1400.93,388,327,715,500.0,0.00286,0,0.18,0.76,1807,2,0.982,-0.137,none,False,False,False,False,False,False,False,False
i0000107,s000300,u00007,2025-02-09 08:10:05+00:00,train,support,anthropic,claude,pro,mobile,apac,enterprise,772.11,125,40,165,213.7,0.00033,1,0.29,0.97,648,0,0.356,-0.242,none,False,False,False,False,False,False,False,False
i0000108,s000471,u00222,2025-01-20 21:06:23+00:00,train,analytics,local,llama,enterprise,api,apac,consumer,2198.04,392,69,461,209.73,0.000922,0,0.78,0.69,1414,1,0.242,0.192,none,False,False,False,False,False,False,False,False
i0000109,s000330,u00167,2025-01-15 12:18:04+00:00,train,analytics,anthropic,claude,free,web,mena,enterprise,2060.94,40,571,611,296.47,0.001222,1,0.87,0.98,629,2,0.875,0.263,none,False,False,False,False,False,False,False,False
i0000110,s000469,u00055,2025-02-10 02:55:14+00:00,train,support,anthropic,claude,pro,web,mena,enterprise,1963.64,86,555,641,326.43,0.001282,1,0.06,0.64,442,0,0.362,-0.443,none,False,False,False,False,False,False,False,False
i0000111,s000029,u00164,2025-02-18 05:58:57+00:00,test,support,google,gemini,pro,web,us,smb,1826.25,55,544,599,328.0,0.001198,0,0.15,0.87,992,2,0.219,0.86,none,False,False,False,False,False,False,False,False
i0000112,s000267,u00135,2025-01-27 16:22:47+00:00,train,coding,anthropic,claude,free,mobile,us,smb,1296.31,172,105,277,213.68,0.000554,0,0.54,0.99,859,1,0.638,0.104,none,False,False,False,False,False,False,False,False
i0000113,s000391,u00225,2025-02-22 10:55:43+00:00,val,summarization,openai,gpt,free,mobile,us,smb,1969.61,377,136,513,260.46,0.001026,1,0.71,0.86,1102,0,0.975,1.0,none,False,False,False,False,False,False,False,False
i0000114,s000322,u00033,2025-02-14 05:12:03+00:00,val,coding,google,gemini,enterprise,api,us,smb,1378.19,256,288,544,394.72,0.002176,0,0.54,0.96,581,2,0.414,0.345,none,False,False,False,False,False,False,False,False
i0000115,s000441,u00292,2025-02-12 19:10:36+00:00,train,coding,openai,gpt,enterprise,api,eu,enterprise,1743.57,261,176,437,250.63,0.000874,2,0.78,1.0,2006,1,0.527,0.241,none,False,False,False,False,False,False,False,False
i0000116,s000232,u00257,2025-02-22 02:53:37+00:00,train,analytics,openai,gpt,free,web,apac,smb,1393.6,70,283,353,253.3,0.000706,0,0.91,0.86,1417,2,0.39,-0.095,none,False,False,False,False,False,False,False,False
i0000117,s000342,u00088,2025-01-12 05:15:27+00:00,train,analytics,local,llama,free,mobile,us,consumer,1871.86,225,399,624,333.36,0.002496,0,1.14,0.91,1741,1,0.646,0.569,none,False,False,False,False,False,False,False,False
